Txn Hash,UnixTimestamp,Date Time (UTC),Buyer,NFT,Token ID,Type,Quantity,Price
0xf49c0d2dcfab7264147caa1e7e40358c498f0437b94e5a4ebb56ef6d9e4a3073,1663718723,2022-09-21 00:05:23,0x0246865741128190099789255343060001158298,Otherdeed,95331,721,1,18051.386599999998
0x97f6643f9fbc4a77af526bad30baca49ce9c3d222ad3a16afdc0f85a8cde7ce5,1660780921,2022-08-18 00:02:01,0xdaa8a78089ef0098a14af2148a8768cf7d104640,MutantApeYachtClub,26746,721,1,17968.1544
0x47bb5d2f950c7a54296a1933f313d44f69e3b27825e232e2272d64bdee51dbd3,1658191203,2022-07-19 00:40:03,0x8ad52c3ab4233341f7a5b25dd0ebc4dcc26c53ee,CloneX,11678,721,1,17849.16
0x2d98a837277ab4e1b09821f0d12d62a15ed6f224d7b24c2cd6aba9560a24fe80,1661559933,2022-08-27 00:25:33,0x07c9946216b9c51dd16aee704035afaec88254f5,Otherdeed,99223,721,1,17188.08
0xad60181bb09f82ba4ef04575d6408bd1b727e131e2773d2312b1b968ab32c512,1663718819,2022-09-21 00:06:59,0x4460807307909997199269426411397981336730,Otherdeed,83337,721,1,17029.61
0xd6ba1f0cd39906ace7ac7e8005c6aeec35ac698b432f61ac22b84e911ffc961b,1662163727,2022-09-03 00:08:47,0xf339db5ef836a1bbd0a9f8e102f82e9f4da8c8ca,MutantApeYachtClub,14246,721,1,16924.97016
0x7428b5255223a896964c29988c3a1354be2a4f807a8d727eba7a7ce0916c93fb,1661126790,2022-08-22 00:06:30,0x5288399433149952462636934369545008369935,MutantApeYachtClub,12242,721,1,16767.616
0x2853fe586c37bbfde509eab6cdc61300b28168f743a80ba23d8f3f6ffe59f353,1657239287,2022-07-08 00:14:47,0x3385170810987966451285991640306517298134,CryptoBatz by Ozzy Osbourne,6611,721,6,16401.798313000003
0xcee26544d72cde44c854cd59099223c2796351654939af3545f1e5dc1af67d1f,1658276752,2022-07-20 00:25:52,0x40df5ee2722b43628e7e4f4b59909627f0c018f8,Kolectiv,283978650214208866305309417836958994231,721,1,15719.64
0x79c05a3350c0c8aad05bc678aaa03fc28de7319784afa0f65289d0c2cf5a8e40,1661558451,2022-08-27 00:00:51,0x5363044580791054408402162740907673056410,Otherdeed,57233,721,1,15523.1445
0x85531ddd8cb51b885cf7a3391a84d68a116c790f86d23ad5d69a8deb05ed0b58,1660954459,2022-08-20 00:14:19,0xce053019efc36c7a184c96cae17c7ccca71c9874,Otherdeed,73612,721,1,15416.385600000001
0xbbba6216769e6c6ec09e950b5fb54e5a5ffc95d6b2974bc52831a8a86b37277f,1663200455,2022-09-15 00:07:35,0x258855d09cf445835769f21370230652c4294a92,Otherdeed,69429,721,1,15392.147500000001
0x14e4a84069cc02779f0f16ebf9729fad18e697ceade2736c966adc60defc3ba8,1661040220,2022-08-21 00:03:40,0x3aa159e236260c258c19724be040fb8ab1393a70,MutantApeYachtClub,25864,721,1,14409.67
